0,4,4,2.4,1.6,2.56,0.908834862
0,9,2,2.3,-0.3,0.09,
0,13,4,2.7,1.3,1.69,
0,16,2,2.5,-0.5,0.25,
0,17,2.5,2.4,0.1,0.01,
1,21,5,3.2,1.8,3.24,
1,30,4,3.3,0.7,0.49,
1,44,5,3.5,1.5,2.25,
1,45,5,3.3,1.7,2.89,
1,49,4,3.4,0.6,0.36,
1,63,3,3.4,-0.4,0.16,
1,66,2,3.1,-1.1,1.21,
1,70,4,3.5,0.5,0.25,
1,72,4,3.4,0.6,0.36,
1,75,4,3.4,0.6,0.36,
1,80,4,3.5,0.5,0.25,
1,86,3,3.2,-0.2,0.04,
1,89,5,3.4,1.6,2.56,
1,91,5,3.5,1.5,2.25,
1,93,3,3.5,-0.5,0.25,
2,96,3,3.5,-0.5,0.25,
2,49,4.5,3.8,0.7,0.49,
2,101,2,3.6,-1.6,2.56,
2,105,5,3.6,1.4,1.96,
2,113,4,3.6,0.4,0.16,
2,120,4,3.6,0.4,0.16,
2,123,3,3.3,-0.3,0.09,
2,124,4,3.3,0.7,0.49,
2,135,4.5,3.5,1,1,
3,140,5,4.1,0.9,0.81,
3,142,3,4.1,-1.1,1.21,
3,145,3,4,-1,1,
3,58,5,4.5,0.5,0.25,
3,59,5,4.5,0.5,0.25,
3,146,3,4.1,-1.1,1.21,
3,90,3,4.7,-1.7,2.89,
3,93,5,4.5,0.5,0.25,
3,162,4,4.4,-0.4,0.16,
3,163,4,4.4,-0.4,0.16,
3,164,5,4.6,0.4,0.16,
3,168,5,4.6,0.4,0.16,
3,173,5,4.8,0.2,0.04,
3,174,5,4.7,0.3,0.09,
3,105,5,4.6,0.4,0.16,
3,190,5,4.5,0.5,0.25,
3,193,5,4.5,0.5,0.25,
3,198,5,4.6,0.4,0.16,
3,203,4,4.6,-0.6,0.36,
3,208,4,4.3,-0.3,0.09,
3,212,3,4,-1,1,
3,214,5,4.7,0.3,0.09,
3,216,5,4.4,0.6,0.36,
3,221,5,4.3,0.7,0.49,
3,225,5,4.7,0.3,0.09,
3,227,5,4.5,0.5,0.25,
3,229,5,4.4,0.6,0.36,
3,232,5,4.6,0.4,0.16,
3,240,3,3.9,-0.9,0.81,
3,13,4,4.3,-0.3,0.09,
3,253,5,4.5,0.5,0.25,
3,262,5,4.2,0.8,0.64,
3,266,3,4.3,-1.3,1.69,
3,275,5,4.5,0.5,0.25,
3,277,1,4,-3,9,
3,278,5,3.8,1.2,1.44,
3,280,3,4.5,-1.5,2.25,
3,288,4,4.4,-0.4,0.16,
3,290,5,4.5,0.5,0.25,
3,294,5,4.3,0.7,0.49,
3,302,3,4.5,-1.5,2.25,
3,307,4,4.5,-0.5,0.25,
3,309,4,4.7,-0.7,0.49,
3,312,2,3.8,-1.8,3.24,
3,318,2,4.3,-2.3,5.29,
4,64,4,4,0,0,
4,75,4.5,4,0.5,0.25,
4,158,3.5,3.9,-0.4,0.16,
4,164,4,3.9,0.1,0.01,
4,326,5,4,1,1,
4,340,4,3.9,0.1,0.01,
4,343,3.5,3.8,-0.3,0.09,
4,344,3.5,3.9,-0.4,0.16,
4,345,3.5,3.8,-0.3,0.09,
4,351,4,4,0,0,
4,360,3.5,4,-0.5,0.25,
4,362,4,4,0,0,
4,364,3,4.1,-1.1,1.21,
4,370,4,3.9,0.1,0.01,
4,377,5,3.8,1.2,1.44,
4,382,4,3.9,0.1,0.01,
5,142,2,2.7,-0.7,0.49,
5,387,5,3.5,1.5,2.25,
5,155,4,3.7,0.3,0.09,
5,195,4.5,3.6,0.9,0.81,
5,414,3.5,3.1,0.4,0.16,
6,20,3,3.2,-0.2,0.04,
6,420,4,3.5,0.5,0.25,
6,422,3,3.4,-0.4,0.16,
6,425,3,3.5,-0.5,0.25,
6,64,3,3.3,-0.3,0.09,
6,146,4,3.1,0.9,0.81,
6,83,4,3.6,0.4,0.16,
6,427,4,3.6,0.4,0.16,
6,102,1,2.9,-1.9,3.61,
6,172,4,3.9,0.1,0.01,
6,175,3,3.1,-0.1,0.01,
6,436,5,4,1,1,
6,439,5,3.6,1.4,1.96,
6,6,4,3.7,0.3,0.09,
6,203,3,3.7,-0.7,0.49,
6,204,3,3.7,-0.7,0.49,
6,11,5,3,2,4,
7,447,5,4.1,0.9,0.81,
7,27,4,4.1,-0.1,0.01,
7,450,3.5,3.6,-0.1,0.01,
7,79,5,4.1,0.9,0.81,
7,452,5,3.9,1.1,1.21,
7,197,4,4.1,-0.1,0.01,
7,330,3,4,-1,1,
7,456,3,3.3,-0.3,0.09,
7,251,3,3.5,-0.5,0.25,
7,463,4,4,0,0,
7,466,3.5,4,-0.5,0.25,
7,290,3.5,4,-0.5,0.25,
7,121,4.5,4.1,0.4,0.16,
7,467,4.5,3.8,0.7,0.49,
7,478,3.5,3.4,0.1,0.01,
7,482,3.5,3.6,-0.1,0.01,
7,483,4.5,3.9,0.6,0.36,
7,127,3,4.1,-1.1,1.21,
7,412,4,4,0,0,
7,415,4.5,3.7,0.8,0.64,
7,494,4,3.9,0.1,0.01,
7,498,3.5,3.9,-0.4,0.16,
7,381,3.5,3.8,-0.3,0.09,
7,502,3,3.6,-0.6,0.36,
8,92,4,3.9,0.1,0.01,
8,507,5,3.4,1.6,2.56,
