0,2,3,2.4,0.6,0.36,0.809242999,0.899579345
0,8,3.5,1.9,1.6,2.56,,
0,14,3,2.9,0.1,0.01,,
0,18,1,2.3,-1.3,1.69,,
1,34,3,3.2,-0.2,0.04,,
1,56,4,3.5,0.5,0.25,,
1,70,4,3.6,0.4,0.16,,
1,87,3,3.3,-0.3,0.09,,
1,90,5,3.6,1.4,1.96,,
2,92,3,3.9,-0.9,0.81,,
2,104,3,3.7,-0.7,0.49,,
2,123,3,3.4,-0.4,0.16,,
3,144,4,4.2,-0.2,0.04,,
3,49,5,4.8,0.2,0.04,,
3,55,5,4.4,0.6,0.36,,
3,72,5,4.5,0.5,0.25,,
3,90,3,4.4,-1.4,1.96,,
3,176,5,4.4,0.6,0.36,,
3,209,3,4,-1,1,,
3,213,5,4.4,0.6,0.36,,
3,219,5,4.6,0.4,0.16,,
3,248,5,4.5,0.5,0.25,,
3,266,3,4.3,-1.3,1.69,,
3,289,5,4.5,0.5,0.25,,
3,297,4,4.2,-0.2,0.04,,
3,18,5,4.4,0.6,0.36,,
3,302,3,4.5,-1.5,2.25,,
3,306,5,4.4,0.6,0.36,,
3,317,5,4.5,0.5,0.25,,
4,22,4,3.9,0.1,0.01,,
4,141,4,3.9,0.1,0.01,,
4,101,4,3.9,0.1,0.01,,
4,332,4,3.9,0.1,0.01,,
4,338,4,4.1,-0.1,0.01,,
4,346,4,4.1,-0.1,0.01,,
4,127,3.5,3.8,-0.3,0.09,,
4,132,4.5,4,0.5,0.25,,
4,374,4.5,4,0.5,0.25,,
4,375,4.5,3.8,0.7,0.49,,
5,393,2,3.2,-1.2,1.44,,
5,404,4,3.6,0.4,0.16,,
5,407,1,3.4,-2.4,5.76,,
5,409,1.5,3.4,-1.9,3.61,,
5,411,1.5,2.3,-0.8,0.64,,
5,412,5,3.7,1.3,1.69,,
6,420,4,3.3,0.7,0.49,,
6,423,2,3,-1,1,,
6,57,3,3.8,-0.8,0.64,,
6,90,4,3.4,0.6,0.36,,
6,95,5,3.8,1.2,1.44,,
6,432,3,3.1,-0.1,0.01,,
6,434,4,3.6,0.4,0.16,,
6,435,4,3.4,0.6,0.36,,
6,436,5,3.9,1.1,1.21,,
6,180,5,3.9,1.1,1.21,,
6,10,3,3.1,-0.1,0.01,,
6,444,3,3.1,-0.1,0.01,,
7,92,4.5,4.2,0.3,0.09,,
7,157,5,4.2,0.8,0.64,,
7,179,3.5,4.1,-0.6,0.36,,
7,186,4,4.2,-0.2,0.04,,
7,196,3,4,-1,1,,
7,441,3.5,3.9,-0.4,0.16,,
7,391,0.5,3.9,-3.4,11.56,,
7,113,4,4,0,0,,
7,473,4.5,4,0.5,0.25,,
7,485,4,3.9,0.1,0.01,,
7,377,4.5,4.1,0.4,0.16,,
8,23,3,3.8,-0.8,0.64,,
8,505,5,4,1,1,,
8,391,4,3.9,0.1,0.01,,
8,334,5,3.8,1.2,1.44,,
8,523,2,3.5,-1.5,2.25,,
8,402,5,4,1,1,,
9,525,4,3.9,0.1,0.01,,
10,559,5,4.3,0.7,0.49,,
10,564,4,4.2,-0.2,0.04,,
10,571,4.5,4.2,0.3,0.09,,
11,430,3,2.2,0.8,0.64,,
11,585,2,3.3,-1.3,1.69,,
11,339,2,2.4,-0.4,0.16,,
11,122,4,2.2,1.8,3.24,,
11,589,1,3,-2,4,,
11,591,4,2.2,1.8,3.24,,
11,599,3,2.9,0.1,0.01,,
11,612,3,3,0,0,,
12,322,4,3.8,0.2,0.04,,
12,626,3.5,3.7,-0.2,0.04,,
12,627,3,4,-1,1,,
12,638,3,3.6,-0.6,0.36,,
13,644,2,3,-1,1,,
14,418,4.5,2.6,1.9,3.61,,
14,659,3,2.2,0.8,0.64,,
14,31,3,2.7,0.3,0.09,,
14,675,1,2.2,-1.2,1.44,,
14,40,4,2.8,1.2,1.44,,
14,687,3.5,2.3,1.2,1.44,,
14,688,5,2.8,2.2,4.84,,
14,97,2,2.8,-0.8,0.64,,
14,693,4,2.9,1.1,1.21,,
14,147,4,2.7,1.3,1.69,,
14,700,4,2.8,1.2,1.44,,
14,701,2.5,2.4,0.1,0.01,,
14,76,1.5,2.6,-1.1,1.21,,
14,77,2,2.7,-0.7,0.49,,
14,450,3.5,2.4,1.1,1.21,,
14,81,2,2.5,-0.5,0.25,,
14,724,5,2.8,2.2,4.84,,
14,729,2,2.5,-0.5,0.25,,
14,731,5,2.8,2.2,4.84,,
14,739,1,2.9,-1.9,3.61,,
14,745,5,2.8,2.2,4.84,,
14,746,2.5,2.6,-0.1,0.01,,
14,751,2,2.5,-0.5,0.25,,
14,527,3,2.3,0.7,0.49,,
14,764,4.5,2.8,1.7,2.89,,
14,180,4,3,1,1,,
14,181,4,2.8,1.2,1.44,,
14,769,4.5,2.9,1.6,2.56,,
14,775,3,2.9,0.1,0.01,,
14,790,3,2.9,0.1,0.01,,
14,792,3,2.8,0.2,0.04,,
14,6,2,2.8,-0.8,0.64,,
14,202,4,2.9,1.1,1.21,,
14,204,5,2.8,2.2,4.84,,
14,208,2,2.7,-0.7,0.49,,
14,213,2.5,2.6,-0.1,0.01,,
14,822,1.5,2.1,-0.6,0.36,,
14,110,4,2.5,1.5,2.25,,
14,828,3,2.8,0.2,0.04,,
14,832,1.5,2.3,-0.8,0.64,,
14,834,2,3.1,-1.1,1.21,,
14,513,3,2.5,0.5,0.25,,
14,839,3,2.8,0.2,0.04,,
14,220,3,2.5,0.5,0.25,,
14,850,2.5,2.6,-0.1,0.01,,
14,852,4,2.8,1.2,1.44,,
14,854,3.5,2.6,0.9,0.81,,
14,858,4,3.2,0.8,0.64,,
14,869,4,2.9,1.1,1.21,,
14,870,3,2.8,0.2,0.04,,
14,871,3,3,0,0,,
14,232,4,2.9,1.1,1.21,,
14,877,3,2.9,0.1,0.01,,
14,887,3.5,2.6,0.9,0.81,,
14,268,4,2.9,1.1,1.21,,
